,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage
0,TANNL,31,05/13/2015,11/14/2022,3.0,$0.50,25.003125078126956
1,MDT,36,10/02/2013,06/23/2022,2.9722222222222223,$0.68,24.59016393442623
2,PGR,15,04/04/2019,07/06/2022,2.7333333333333334,$0.10,4499.999999999999
3,EMCF,95,02/25/1999,05/31/2022,2.957894736842105,$0.31,142.10526315789474
4,CHW,175,09/11/2007,06/10/2022,1.0171428571428571,$0.07,24.0
5,NEM,36,12/03/2013,06/01/2022,2.9166666666666665,$0.55,528.5714285714286
6,UNIT,28,09/28/2015,06/16/2022,3.0,$0.15,340.0
7,XOMAO,4,09/30/2021,06/30/2022,2.75,$0.52344,0.00047761194029760645
8,PNR,37,10/23/2013,07/21/2022,2.918918918918919,$0.21,6214.285714285715
9,GOGL,4,09/09/2021,05/31/2022,2.75,$0.50,100.0
10,RUSHA,15,11/06/2018,05/11/2022,3.0,$0.19,28.571428571428555
11,PANL,5,05/28/2021,05/31/2022,3.0,$0.075,75.00000000000003
12,JRVR,29,06/11/2015,06/10/2022,3.0,$0.05,725.0
13,ADI,52,08/25/2009,05/27/2022,3.0,$0.76,20.0
14,BELFB,94,04/08/1999,07/14/2022,3.0,$0.07,40.0
15,SCHN,113,05/04/1994,04/14/2022,2.9911504424778763,$0.1875,1002.9411764705881
16,PDCO,49,07/07/2010,07/21/2022,3.020408163265306,$0.26,25.0
17,HES,36,09/12/2013,06/14/2022,3.0,$0.375,150.0
18,ALRS,11,12/19/2019,06/16/2022,3.0,$0.18,12.5
19,REG,87,11/09/2000,06/14/2022,3.0114942528735633,$0.625,10.924369747899163
20,LAMR,32,09/18/2014,06/16/2022,3.03125,$1.20,50.0
21,FCFS,25,05/27/2016,05/13/2022,3.0,$0.30,52.0
22,HBCP,30,02/05/2015,05/06/2022,2.966666666666667,$0.23,20.0
23,TUSK,3,11/07/2018,05/09/2019,3.0,$0.125,0.0
24,OXLC,84,06/14/2011,09/15/2022,1.6428571428571428,$0.075,100.0
25,AIG,35,12/03/2013,06/15/2022,3.0,$0.32,124.00000000000003
26,VMC,35,11/21/2013,05/26/2022,3.0,$0.40,400.0
27,CSWI,12,07/29/2019,04/28/2022,2.9166666666666665,$0.17,13.333333333333343
28,RILYK,6,07/14/2021,10/13/2022,3.0,$0.34375,190.32257519629184
29,KFRC,34,03/12/2014,06/09/2022,3.0,$0.30,50.0
30,GROW,186,06/07/2007,09/09/2022,1.0,$0.0075,100.0
31,FUND,29,06/12/2015,06/10/2022,2.9310344827586206,$0.1389,228.03514376996804
32,FNCB,16,08/31/2018,05/31/2022,3.0,$0.075,25.0
33,FCX,4,07/14/2021,04/13/2022,3.0,$0.15,100.0
34,IPAR,5,06/14/2021,06/14/2022,3.0,$0.50,100.0
35,FTV,24,11/22/2016,05/26/2022,2.875,$0.07,19042.85714285714
36,LOW,36,10/21/2013,07/19/2022,3.0,$1.05,33.33333333333334
37,GIFI,55,05/07/2004,11/09/2017,3.0,$0.01,500.0
38,CL,36,10/18/2013,07/20/2022,3.0,$0.47,5.882352941176464
39,CMCT,96,12/29/1999,06/16/2022,2.84375,$0.085,55850.0
40,PLCE,23,06/25/2014,12/13/2019,3.0,$0.56,100.0
41,CTBI,96,09/11/1998,06/14/2022,2.9791666666666665,$0.40,9.523809523809533
42,CBRL,4,10/21/2021,07/14/2022,3.0,$1.30,30.0
43,SAFM,37,05/03/2013,05/02/2022,3.0,$0.44,463.6363636363636
44,WST,35,01/17/2014,07/19/2022,3.0,$0.18,10.0
45,RTX,10,05/14/2020,08/18/2022,3.0,$0.55,7.8431372549019756
46,HIFS,112,07/05/1994,04/29/2022,3.0,$0.57,357.1428571428571
47,CTRA,3,11/12/2021,05/12/2022,2.3333333333333335,$0.60,86.66666666666669
48,NDSN,134,02/17/1989,05/23/2022,3.0,$0.51,30.769230769230774
49,MPC,35,11/18/2013,05/17/2022,3.0,$0.58,28.0
50,SPTN,33,06/12/2014,06/14/2022,3.0,$0.21,12.5
51,FRG,10,04/08/2020,06/30/2022,3.0,$0.625,66.66666666666666
52,WING,22,12/01/2017,05/19/2022,2.590909090909091,$0.17,4428.571428571428
53,APD,37,09/27/2013,06/30/2022,2.918918918918919,$1.62,15.789473684210549
54,IBKR,45,08/30/2011,05/31/2022,2.933333333333333,$0.10,900.0
55,FRC,35,10/30/2013,04/27/2022,3.0,$0.27,22.727272727272734
56,CBSH,1,06/06/2022,06/06/2022,3.0,$0.265,0.0
57,AUBN,103,12/06/1996,06/09/2022,3.0,$0.265,66.66666666666669
58,LBAI,44,07/27/2011,05/06/2022,3.022727272727273,$0.145,16.666666666666686
59,HPQ,35,12/09/2013,06/07/2022,3.0,$0.25,28.86597938144328
60,LAUR,1,12/13/2021,12/13/2021,1.0,$0.58,-91.72610556348074
61,XRX,58,03/27/2008,06/29/2022,3.0,$0.25,300.0
62,GSBC,131,07/10/1990,06/24/2022,2.946564885496183,$0.40,373.33333333333337
63,SQFT,6,03/08/2021,06/09/2022,3.1666666666666665,$0.106,1.0000000000000142
64,LOAN,37,08/13/2013,07/07/2022,2.972972972972973,$0.125,250.00000000000006
65,PFG,42,03/08/2012,06/01/2022,3.0238095238095237,$0.64,16.66666666666667
66,NYMTN,8,09/30/2020,06/30/2022,3.0,$0.50,0.0
67,MS,35,10/29/2013,04/28/2022,3.0,$0.70,100.0
68,EFSC,69,06/14/2005,06/14/2022,3.0,$0.22,28.571428571428555
69,STAF,3,05/16/2019,12/12/2019,3.3333333333333335,$0.01,0.0
70,CMA,35,12/11/2013,06/14/2022,3.0,$0.68,76.47058823529412
71,WRK,28,08/10/2015,05/11/2022,3.0,$0.25,20.0
72,TFC,36,11/06/2013,05/12/2022,2.9166666666666665,$0.48,733.3333333333334
73,NEWTL,10,01/14/2020,04/13/2022,3.0,$0.359375,0.001391323705362879
74,HD,36,09/03/2013,06/01/2022,3.0,$1.90,32.038834951456295
75,WSBF,38,07/09/2014,04/08/2022,2.526315789473684,$0.20,316.6666666666667
76,LNC,35,01/08/2014,07/08/2022,3.0,$0.45,33.33333333333334
77,VIRC,4,03/22/2018,12/26/2018,3.0,$0.015,0.0
78,BR,35,12/10/2013,06/14/2022,3.0,$0.64,32.87671232876713
79,KMI,35,10/29/2013,04/29/2022,3.0,$0.278,60.0
80,LOB,27,12/28/2015,05/27/2022,2.962962962962963,$0.03,100.0
81,SBCF,4,09/14/2021,06/14/2022,3.0,$0.17,30.769230769230774
82,LSBK,62,01/31/2007,05/06/2022,3.0,$0.16,75.00000000000003
83,DLR,35,12/11/2013,06/14/2022,3.0,$1.22,8.602150537634401
84,AGYS,83,01/05/1989,07/16/2009,3.0,$0.03,16.666666666666686
85,WELL,17,05/07/2018,05/23/2022,3.0,$0.61,0.0
86,HOPE,38,02/06/2013,04/27/2022,3.0,$0.14,50.0
87,COWNL,17,11/29/2018,11/30/2022,3.0,$0.484375,0.0
88,PWOD,96,03/05/1999,06/06/2022,2.9375,$0.32,126.66666666666669
89,NICK,9,12/09/2011,09/18/2013,2.6666666666666665,$0.12,1566.6666666666667
90,STRR,19,02/12/2014,08/15/2018,3.0,$0.055,10.0
91,GABC,109,10/18/1995,05/09/2022,2.9541284403669725,$0.23,27.272727272727295
92,TGT,36,11/18/2013,08/16/2022,3.0,$1.08,32.35294117647058
93,GEGGL,5,12/14/2022,12/14/2023,3.0,$0.45816,1.1247740409292675
94,TFX,36,11/13/2013,05/13/2022,2.9166666666666665,$0.34,-1.4210854715202004e-14
95,HSII,36,07/31/2013,05/05/2022,3.0,$0.15,15.384615384615387
96,NECB,4,10/22/2021,05/13/2022,2.5,$0.18,200.0
97,HWM,3,11/04/2021,05/05/2022,3.0,$0.02,0.0
98,WYNN,37,07/26/2011,02/25/2020,2.864864864864865,$1.00,1500.0
99,QUMU,6,06/28/2011,08/29/2012,2.8333333333333335,$0.17,70.0
100,FFNW,36,09/04/2013,06/02/2022,3.0277777777777777,$0.12,25.0
101,DOV,35,11/26/2013,05/27/2022,3.0,$0.50,6.818181818181813
102,HONE,7,10/13/2020,04/12/2022,3.0,$0.07,66.66666666666669
103,AME,35,12/04/2013,06/09/2022,3.0,$0.22,55.55555555555557
104,DHI,33,05/13/2014,05/06/2022,3.0,$0.225,65.78947368421052
105,ULH,6,02/26/2021,06/03/2022,3.0,$0.105,0.0
106,WASH,122,06/26/1992,06/30/2022,2.9754098360655736,$0.54,13.63636363636364
107,EFX,36,11/20/2013,05/24/2022,2.9166666666666665,$0.39,18.181818181818173
108,SABR,22,12/11/2014,03/19/2020,3.0454545454545454,$0.14,44.44444444444446
109,PWP,3,12/02/2021,05/18/2022,2.6666666666666665,$0.07,0.0
110,BSY,6,03/09/2021,06/08/2022,3.0,$0.03,0.0
111,TCBK,116,09/13/1993,06/09/2022,3.0,$0.25,30.0
112,AVB,36,09/26/2013,06/29/2022,3.0,$1.59,8.411214953271013
