,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years
0,ABCB,32,09/26/2014,06/29/2022,2.96875,0.15,100.0,1,2014,28
1,JACK,7,12/01/2020,06/06/2022,3.142857142857143,0.44,10.0,1,2020,8
2,OTTR,135,11/08/1988,05/12/2022,2.977777777777778,0.4125,5.769230769230759,4,1988,34
3,NRIM,109,04/13/1995,06/08/2022,2.9908256880733943,0.41,90.0,3,1995,27
4,FTAI,28,08/19/2015,05/12/2022,2.892857142857143,0.33,120.0,1,2015,7
5,BFST,17,05/14/2018,05/12/2022,2.823529411764706,0.12,25.0,1,2018,4
6,PEP,52,09/02/2009,06/02/2022,3.0,1.15,15.418502202643168,1,2009,22
7,GPC,37,06/05/2013,06/02/2022,2.918918918918919,0.895,9.815950920245399,1,2013,9
8,IBCP,32,08/01/2014,05/04/2022,3.03125,0.22,33.33333333333334,1,2014,34
9,AZTA,42,09/07/2011,12/02/2021,2.9285714285714284,0.1,25.0,1,2011,11
10,CCI,34,03/18/2014,06/14/2022,2.911764705882353,1.47,134.2857142857143,1,2014,8
11,RRR,2,03/14/2022,06/15/2022,3.5,0.25,0.0,0,2022,6
12,DAIO,1,03/09/1989,03/09/1989,0.0,4.15,0.0,0,1989,33
13,PFBC,31,01/02/2015,07/06/2022,3.0,0.43,26.66666666666667,1,2015,21
14,TXN,87,10/27/2000,05/06/2022,2.9770114942528734,1.15,100.0,3,2000,22
15,RWAY,3,11/05/2021,05/09/2022,2.0,0.3,11.1111111111111,0,2021,1
16,CBTX,19,12/29/2017,06/28/2022,2.8421052631578947,0.13,100.0,1,2017,5
17,LKQ,3,11/09/2021,05/18/2022,2.0,0.25,0.0,0,2021,1
18,OXLCO,12,09/15/2021,08/16/2022,0.9166666666666666,0.125,0.0,0,2021,1
19,RSG,39,09/27/2013,06/30/2022,2.6923076923076925,0.46,8.695652173913047,1,2013,9
20,HRZN,123,08/19/2011,08/17/2022,1.0975609756097562,0.1,50.0,1,2011,0
21,RPRX,8,09/14/2020,05/19/2022,2.5,0.19,13.333333333333343,1,2020,2
22,HSTM,1,03/05/2018,03/05/2018,0.0,1.0,0.0,0,2018,4
23,FBMS,45,05/10/2011,05/09/2022,3.0,0.18,40.0,1,2011,18
24,NEPT,1,10/11/2012,10/11/2012,0.0,0.003416,0.0,0,2012,10
25,OTEX,37,05/29/2013,06/02/2022,2.945945945945946,0.2209,15.94202898550725,1,2013,9
26,JMSB,1,05/09/2022,05/09/2022,0.0,0.2,0.0,0,2022,0
27,CCBG,33,06/05/2014,06/03/2022,3.0,0.16,50.0,1,2014,25
28,GAINZ,6,10/14/2021,01/12/2023,2.5,0.3046875,23.287669569987173,0,2021,1
29,EQBK,4,09/29/2021,06/29/2022,2.25,0.08,0.0,0,2021,1
