,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years
0,CHSCL,30,03/13/2015,06/16/2022,2.9,0.46875,26.760449117341636,1,2015,7
1,RGCO,117,04/11/1994,07/14/2022,2.8974358974358974,0.195,1425.4237288135594,3,1994,28
2,PLBC,8,07/30/2020,04/29/2022,3.0,0.16,16.666666666666686,1,2020,23
3,GREEL,1,04/13/2022,04/13/2022,0.0,0.53125,0.0,0,2022,0
4,CASS,13,06/03/2019,06/02/2022,3.0,0.28,3.8461538461538396,1,2019,26
5,CGABL,6,07/29/2021,10/31/2022,2.5,0.2890625,0.0,0,2021,1
6,PVBC,8,07/29/2020,05/12/2022,3.125,0.04,33.33333333333334,1,2020,3
7,TANNZ,18,06/28/2018,09/29/2022,3.0,0.5,0.0,1,2018,0
8,HLNE,21,06/22/2017,06/14/2022,2.857142857142857,0.4,29.411764705882376,1,2017,5
9,EMKR,1,08/01/2016,08/01/2016,0.0,1.5,0.0,0,2016,6
10,OPINL,9,11/12/2020,11/14/2022,2.6666666666666665,0.3984375,0.0,1,2020,0
11,BJRI,10,11/10/2017,03/09/2020,2.8,0.13,9.090909090909093,1,2017,5
12,ALGT,22,03/02/2015,02/28/2020,2.8181818181818183,0.7,450.0,1,2015,12
13,IRMD,1,02/16/2022,02/16/2022,0.0,1.0,0.0,0,2022,0
14,SQFT,7,11/20/2020,06/09/2022,2.7142857142857144,0.106,1.0000000000000142,1,2020,2
15,SSRM,6,03/04/2021,05/12/2022,2.3333333333333335,0.07,40.0,0,2021,1
16,CSPI,5,02/27/2019,02/27/2020,2.6,0.15,0.0,1,2019,22
17,NEWT,30,06/25/2015,06/16/2022,2.9,0.75,438.0,1,2015,13
18,HWBK,2,12/14/2021,03/14/2022,3.0,0.15,0.0,0,2021,22
19,KOSS,52,09/26/2001,03/27/2014,2.8846153846153846,0.06,769.230769230769,2,2001,21
20,ORRF,28,08/05/2015,04/29/2022,2.9642857142857144,0.19,20.0,1,2015,0
21,SBSI,64,08/29/2006,05/18/2022,3.0,0.34,165.0,2,2006,24
22,BTCS,1,03/16/2022,03/16/2022,0.0,0.05,0.0,0,2022,0
23,AMOT,43,11/14/2011,05/18/2022,3.0,0.025,25.0,1,2011,29
24,FBNC,125,06/24/1991,06/29/2022,3.0,0.22,69.23076923076923,3,1991,34
25,GEGGL,6,09/14/2022,12/14/2023,2.5,0.45816,1.1247740409292675,0,2022,0
26,WEN,67,11/03/2005,05/31/2022,3.0,0.125,100.0,2,2005,22
27,WIRE,63,01/03/2007,06/30/2022,2.9365079365079363,0.02,0.0,2,2007,15
28,PCH,52,03/03/2010,06/02/2022,2.8846153846153846,0.44,809.0909090909091,1,2010,22
29,TTWO,1,09/25/2008,09/25/2008,0.0,0.0001,0.0,1,2008,14
30,MPB,17,08/07/2018,05/09/2022,2.823529411764706,0.2,280.0,1,2018,22
31,NLOK,39,06/17/2013,06/07/2022,2.769230769230769,0.125,9500.0,1,2013,9
32,PLCE,24,03/25/2014,12/13/2019,2.875,0.56,100.0,0,2014,8
33,TRMD,2,05/01/2020,08/26/2020,1.5,0.85,750.0,1,2020,2
34,ATRI,78,11/26/2003,06/14/2022,2.8846153846153846,1.95,1685.7142857142856,2,2003,34
35,EXPI,4,08/13/2021,05/13/2022,2.25,0.04,0.0,0,2021,1
36,BCML,2,03/10/2022,06/16/2022,1.5,0.05,0.0,0,2022,0
37,SIGA,1,05/16/2022,05/16/2022,0.0,0.45,0.0,0,2022,0
38,SSBK,3,11/02/2021,05/03/2022,2.0,0.09,0.0,0,2021,1
39,PWP,4,09/02/2021,05/18/2022,2.0,0.07,0.0,0,2021,1
40,MDRR,4,10/22/2021,07/15/2022,3.0,0.02,0.0,0,2021,4
41,NDSN,135,11/18/1988,05/23/2022,2.977777777777778,0.51,30.769230769230774,4,1988,34
42,BNTX,1,06/02/2022,06/02/2022,0.0,2.111,0.0,0,2022,0
43,BLMN,1,05/10/2022,05/10/2022,2.0,0.14,0.0,0,2022,7
44,STRS,1,03/29/2017,03/29/2017,0.0,1.0,0.0,0,2017,5
45,ASRV,36,08/01/2013,05/06/2022,3.0,0.03,50.0,1,2013,32
46,SOHON,3,06/28/2019,12/30/2019,2.0,0.515625,23.28742557922675,0,2019,3
47,IBCP,32,08/01/2014,05/04/2022,3.03125,0.22,33.33333333333334,1,2014,34
48,DMLP,76,07/24/2003,04/29/2022,3.0,0.753926,121.94137596899225,2,2003,34
49,CBNK,4,07/29/2021,05/06/2022,2.5,0.05,0.0,0,2021,1
50,ILPT,17,04/27/2018,04/22/2022,2.823529411764706,0.33,22.222222222222214,1,2018,4
51,BSRR,93,07/20/1999,04/29/2022,2.935483870967742,0.23,125.0,3,1999,23
52,ABTX,10,02/27/2020,05/27/2022,2.7,0.14,20.0,1,2020,2
53,CHW,176,08/09/2007,06/10/2022,1.0113636363636365,0.07,24.0,2,2007,0
54,REG,88,08/09/2000,06/14/2022,2.977272727272727,0.625,10.924369747899163,3,2000,22
55,LRFC,70,12/06/2013,03/20/2020,1.0714285714285714,0.0833,31.908104658583255,1,2013,9
56,JRSH,15,11/16/2018,05/26/2022,2.8,0.05,0.0,1,2018,4
57,LKFN,95,10/07/1998,04/22/2022,3.0,0.4,22.22222222222223,3,1998,25
58,CHCO,80,10/11/2002,07/14/2022,3.0,0.6,33.33333333333334,2,2002,34
59,RNDB,2,11/08/2021,02/07/2022,1.5,2.15,1333.3333333333335,0,2021,1
60,KLAC,70,04/28/2005,05/13/2022,2.9285714285714284,1.05,3200.0,2,2005,17
61,RILYK,7,04/14/2021,10/13/2022,2.5714285714285716,0.34375,190.32257519629184,0,2021,1
62,TANNL,32,02/11/2015,11/14/2022,2.90625,0.5,25.003125078126956,1,2015,7
63,STLD,73,07/22/2004,06/29/2022,2.9452054794520546,0.34,100.0,2,2004,18
64,LFVN,1,05/16/2022,05/16/2022,0.0,0.03,0.0,0,2022,0
65,ULTA,1,03/16/2012,03/16/2012,0.0,1.0,0.0,0,2012,10
66,STEP,6,03/18/2021,06/14/2022,2.5,0.2,114.28571428571428,0,2021,1
67,IBKR,45,08/30/2011,05/31/2022,2.933333333333333,0.1,900.0,1,2011,12
68,CHSCN,33,06/12/2014,06/16/2022,2.909090909090909,0.44375,0.0,1,2014,8
69,CSWI,13,05/07/2019,04/28/2022,2.6923076923076925,0.17,13.333333333333343,1,2019,3
70,LARK,99,10/30/1997,05/10/2022,3.01010101010101,0.21,100.0,3,1997,28
71,AFCG,5,06/14/2021,06/29/2022,2.4,0.56,16.279069767441868,0,2021,1
72,NBTB,89,05/30/2000,05/31/2022,3.0,0.28,11.764705882352928,3,2000,30
73,RRBI,10,03/13/2020,06/10/2022,2.7,0.07,16.666666666666686,1,2020,2
74,ASTE,36,08/09/2013,05/12/2022,3.0,0.12,10.0,1,2013,10
75,MELI,28,03/29/2011,12/28/2017,2.892857142857143,0.15,45.63106796116506,0,2011,11
76,CDW,35,11/13/2013,05/24/2022,2.914285714285714,0.5,59.25925925925924,1,2013,9
77,NXGN,35,06/13/2007,12/09/2015,3.0285714285714285,0.175,20.0,1,2007,17
78,ARTNA,105,08/07/1996,08/08/2022,2.9714285714285715,0.2729,10.869565217391298,3,1996,26
79,WING,22,12/01/2017,05/19/2022,2.590909090909091,0.17,4428.571428571428,1,2017,6
80,CPSI,71,05/07/2003,08/14/2020,2.915492957746479,0.1,117.39130434782606,2,2003,19
81,NFBK,37,05/06/2013,05/10/2022,3.0,0.13,416.66666666666674,1,2013,14
82,RTLR,11,11/14/2019,05/12/2022,2.727272727272727,0.3,25.0,1,2019,3
83,BHFAO,8,09/09/2020,06/09/2022,2.625,0.421875,0.0,1,2020,2
84,MLAB,75,11/26/2003,05/27/2022,2.96,0.16,433.33333333333337,2,2003,19
85,ASO,2,03/16/2022,06/15/2022,1.5,0.075,0.0,0,2022,0
86,CSQ,214,06/09/2004,06/10/2022,1.0093457943925233,0.1025,38.82926829268294,2,2004,0
