,Unnamed: 0,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years,exchange,industry,sector,share_volume,trade_volume,market_cap,highlow_today,highlow_52,previous_close,_pe,_yield,_eps,_annualized_dividend
0,0,ABCB,32,09/26/2014,06/29/2022,2.96875,$0.15,100.0,1,2014,28,NASDAQ-GS,Finance,Major Banks,"812,253","419,357","2,862,837,168",$41.48/$40.42,$56.63/$39.59,$40.30,8.61,1.46%,$4.79,$0.60
1,1,JACK,7,12/01/2020,06/06/2022,3.142857142857143,$0.44,10.0,1,2020,8,NASDAQ-GS,Consumer Discretionary,Restaurants,"405,469","460,240","1,246,973,130",$60.33/$58.24,$122.35/$56.03,$58.98,10.2,3.08%,$5.81,$1.76
2,2,OTTR,135,11/08/1988,05/12/2022,2.977777777777778,$0.4125,5.769230769230759,4,1988,34,NASDAQ-GS,Utilities,Electric Utilities: Central,"791,447","140,837","2,705,992,575",$65.04/$62.91,$71.89/$47.24,$62.96,12.45,2.63%,$5.22,$1.65
3,3,NRIM,109,04/13/1995,06/08/2022,2.9908256880733943,$0.41,90.0,3,1995,27,NASDAQ-GS,Finance,Savings Institutions,"774,100","30,792","239,060,822",$42.09/$39.95,$47.34/$38.41,$39.92,7.81,4.09%,$5.26,$1.64
4,4,FTAI,28,08/19/2015,05/12/2022,2.892857142857143,$0.33,120.0,1,2015,7,NASDAQ-GS,Consumer Discretionary,Diversified Commercial Services,"384,500",N/A,"1,884,585,224",$19.36/$17.33,$34.65/$16.74,$18.53,0.0,7.32%,$-3.35,$1.32
5,5,BFST,17,05/14/2018,05/12/2022,2.823529411764706,$0.12,25.0,1,2018,4,NASDAQ-GS,Finance,Major Banks,"307,560","40,038","479,497,899",$21.67/$21.25,$29.50/$20.19,$21.15,9.08,2.25%,$2.34,$0.48
6,6,PEP,52,09/02/2009,06/02/2022,3.0,$1.15,15.418502202643168,1,2009,22,NASDAQ-GS,Consumer Staples,Beverages (Production/Distribution),"5,951,692","5,678,401","229,705,219,657",$166.19/$163.94,$177.62/$144.61,$164.10,22.73,2.84%,$7.31,$4.60
7,7,GPC,37,06/05/2013,06/02/2022,2.918918918918919,$0.895,9.8159509202454,1,2013,9,NYSE,Consumer Discretionary,Automotive Aftermarket,"1,195,549","764,666","19,363,141,822",$136.88/$133.60,$142.97/$115.63,$133.29,21.17,2.72%,$6.46,$3.58
8,8,IBCP,32,08/01/2014,05/04/2022,3.03125,$0.22,33.33333333333334,1,2014,34,NASDAQ-GS,Finance,Major Banks,"290,951","82,546","398,640,010",$18.94/$18.58,$26.00/$17.87,$18.60,6.99,4.65%,$2.71,$0.88
9,9,AZTA,42,09/07/2011,12/02/2021,2.9285714285714284,$0.10,25.0,1,2011,11,NASDAQ-GS,Health Care,Medical/Dental Instruments,"1,868,448","523,780","5,570,915,352",$74.84/$72.34,$124.79/$61.35,$72.28,2.51,0.28%,$29.55,$0.20
